energy_price,energy_price_predicted_1,energy_price_predicted_2,energy_price_predicted_3
83.74,94.91,56.15,73.56
83.74,94.91,56.15,73.56
83.74,94.91,56.15,73.56
83.74,94.91,56.15,73.56
75.78,106.55,46.36,64.49
75.78,106.55,46.36,64.49
75.78,106.55,46.36,64.49
75.78,106.55,46.36,64.49
74.2,116.85,34.87,62.37
74.2,116.85,34.87,62.37
74.2,116.85,34.87,62.37
74.2,116.85,34.87,62.37
72.42,91.51,45.09,58.58
72.42,91.51,45.09,58.58
72.42,91.51,45.09,58.58
72.42,91.51,45.09,58.58
72.9,70.07,77.15,58.28
72.9,70.07,77.15,58.28
72.9,70.07,77.15,58.28
72.9,70.07,77.15,58.28
83.6,62.71,103.24,52.98
83.6,62.71,103.24,52.98
83.6,62.71,103.24,52.98
83.6,62.71,103.24,52.98
94.91,56.15,116.74,59.47
94.91,56.15,116.74,59.47
94.91,56.15,116.74,59.47
94.91,56.15,116.74,59.47
106.55,46.36,124.4,72.3
106.55,46.36,124.4,72.3
106.55,46.36,124.4,72.3
106.55,46.36,124.4,72.3
116.85,34.87,125.14,73.99
116.85,34.87,125.14,73.99
116.85,34.87,125.14,73.99
116.85,34.87,125.14,73.99
91.51,45.09,105.76,27.44
91.51,45.09,105.76,27.44
91.51,45.09,105.76,27.44
91.51,45.09,105.76,27.44
70.07,77.15,101.04,0.31
70.07,77.15,101.04,0.31
70.07,77.15,101.04,0.31
70.07,77.15,101.04,0.31
62.71,103.24,89.48,0.8
62.71,103.24,89.48,0.8
62.71,103.24,89.48,0.8
62.71,103.24,89.48,0.8
56.15,116.74,73.56,6.429999999999999
56.15,116.74,73.56,6.429999999999999
56.15,116.74,73.56,6.429999999999999
56.15,116.74,73.56,6.429999999999999
46.36,124.4,64.49,7.1
46.36,124.4,64.49,7.1
46.36,124.4,64.49,7.1
46.36,124.4,64.49,7.1
34.87,125.14,62.37,21.58
34.87,125.14,62.37,21.58
34.87,125.14,62.37,21.58
34.87,125.14,62.37,21.58
45.09,105.76,58.58,43.32
45.09,105.76,58.58,43.32
45.09,105.76,58.58,43.32
45.09,105.76,58.58,43.32
77.15,101.04,58.28,60.22
77.15,101.04,58.28,60.22
77.15,101.04,58.28,60.22
77.15,101.04,58.28,60.22
103.24,89.48,52.98,91.55
103.24,89.48,52.98,91.55
103.24,89.48,52.98,91.55
103.24,89.48,52.98,91.55
116.74,73.56,59.47,113.56
116.74,73.56,59.47,113.56
116.74,73.56,59.47,113.56
116.74,73.56,59.47,113.56
124.4,64.49,72.3,147.52
