month,hour,minutes,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
11,0,15,1,0,0,0,0,0.0,0,0,0,0.0
11,0,30,1,0,0,0,0,0.0,0,0,0,0.0
11,0,45,1,0,0,0,0,0.0,0,0,0,0.0
11,1,0,1,0,0,0,0,0.0,0,0,0,0.0
11,1,15,1,0,0,0,0,0.0,0,0,0,0.0
11,1,30,1,0,0,0,0,0.0,0,0,0,0.0
11,1,45,1,0,0,0,0,0.0,0,0,0,0.0
11,2,0,1,0,0,0,0,0.0,0,0,0,0.0
11,2,15,1,0,0,0,0,0.0,0,0,0,0.0
11,2,30,1,0,0,0,0,0.0,0,0,0,0.0
11,2,45,1,0,0,0,0,0.0,0,0,0,0.0
11,3,0,1,0,0,0,0,0.0,0,0,0,0.0
11,3,15,1,0,0,0,0,0.0,0,0,0,0.0
11,3,30,1,0,0,0,0,0.0,0,0,0,0.0
11,3,45,1,0,0,0,0,0.0,0,0,0,0.0
11,4,0,1,0,0,0,0,0.0,0,0,0,0.0
11,4,15,1,0,0,0,0,0.0,0,0,0,0.0
11,4,30,1,0,0,0,0,0.0,0,0,0,0.0
11,4,45,1,0,0,0,0,0.0,0,0,0,0.0
11,5,0,1,0,0,0,0,0.0,0,0,0,0.0
11,5,15,1,0,0,0,0,0.0,0,0,0,0.0
11,5,30,1,0,0,0,0,0.0,0,0,0,0.0
11,5,45,1,0,0,0,0,0.0,0,0,0,0.0
11,6,0,1,0,0,0,0,0.0,0,0,0,0.0
11,6,15,1,0,0,0,0,0.0,0,0,0,0.0
11,6,30,1,0,0,0,0,0.0,0,0,0,0.0
11,6,45,1,0,0,0,0,0.0,0,0,0,0.0
11,7,0,1,0,0,0,0,0.0,0,0,0,0.0
11,7,15,1,0,0,0,0,0.0,0,0,0,0.0
11,7,30,1,0,0,0,0,0.0,0,0,0,0.0
11,7,45,1,0,0,0,0,0.0,0,0,0,0.0
11,8,0,1,0,0,0,0,0.0,0,0,0,0.0
11,8,15,1,0,0,0,0,0.0,0,0,0,0.0
11,8,30,1,0,0,0,0,0.0,0,0,0,0.0
11,8,45,1,0,0,0,0,0.0,0,0,0,0.0
11,9,0,1,0,0,0,0,0.0,0,0,0,0.0
11,9,15,1,0,0,0,0,0.0,0,0,0,0.0
11,9,30,1,0,0,0,0,0.0,0,0,0,0.0
11,9,45,1,0,0,0,0,0.0,0,0,0,0.0
11,10,0,1,0,0,0,0,0.0,0,0,0,0.0
11,10,15,1,0,0,0,0,0.0,0,0,0,0.0
11,10,30,1,0,0,0,0,0.0,0,0,0,0.0
