config_file,source_config,policy,algorithm,seed,episodes,episode_time_steps,target,image_tag,notes
remote_20260522_scorecard_2022_maddpg_v48_seed456_server_cpu.yaml,remote_20260522_scorecard_2022_maddpg_v48_seed456.yaml,maddpg_v48,MADDPG,456,6,8760,server,sha-f20cc24,Redistributed from canceled GPU secondary seed; use_amp=false.
remote_20260522_scorecard_2022_matd3_service_storage_guard_seed456_server_cpu.yaml,remote_20260522_scorecard_2022_matd3_service_storage_guard_seed456.yaml,matd3_service_storage_guard,MATD3,456,6,8760,server,sha-f20cc24,Redistributed from canceled GPU secondary seed; use_amp=false.
remote_20260522_scorecard_2022_matd3_storage_guard_seed456_server_cpu.yaml,remote_20260522_scorecard_2022_matd3_storage_guard_seed456.yaml,matd3_storage_guard,MATD3,456,6,8760,server,sha-f20cc24,Redistributed from canceled GPU secondary seed; use_amp=false.
remote_20260522_scorecard_2022_maddpg_v48_seed789_deucalion_cpu.yaml,remote_20260522_scorecard_2022_maddpg_v48_seed789.yaml,maddpg_v48,MADDPG,789,6,8760,deucalion-cpu,sha-f20cc24,Redistributed from canceled GPU secondary seed; use_amp=false.
remote_20260522_scorecard_2022_matd3_service_storage_guard_seed789_deucalion_cpu.yaml,remote_20260522_scorecard_2022_matd3_service_storage_guard_seed789.yaml,matd3_service_storage_guard,MATD3,789,6,8760,deucalion-cpu,sha-f20cc24,Redistributed from canceled GPU secondary seed; use_amp=false.
remote_20260522_scorecard_2022_matd3_storage_guard_seed789_deucalion_cpu.yaml,remote_20260522_scorecard_2022_matd3_storage_guard_seed789.yaml,matd3_storage_guard,MATD3,789,6,8760,deucalion-cpu,sha-f20cc24,Redistributed from canceled GPU secondary seed; use_amp=false.
